date,National Defense,International Affairs,"General Science, Space, and Technology",Energy,Natural Resources and Environment,Agriculture,Commerce and Housing Credit,Transportation,Community and Regional Development,"Education, Training, Employment, and Social Services",Health,Medicare,Income Security,Social Security,Veterans Benefits and Services,Administration of Justice,General Government,Net Interest
2005,495294,34565,23597,440,27983,26565,7566,67894,26262,97553,250605,298638,345800,523305,70112,40019,16997,183986
2006,521820,29499,23584,785,33025,25969,6187,70244,54465,118473,252779,329868,352425,548549,69832,41016,18177,226603
2007,551258,28482,24407,-852,31721,17662,487,72905,29567,91647,266425,375407,365931,586153,72828,42362,17425,237109
2008,616066,28857,26773,631,31820,18387,27870,77616,23952,91304,280626,390758,431211,617027,84711,48097,20323,252757
2009,661012,37529,28417,4755,35573,22237,291535,84289,27676,79744,334368,430093,533080,682963,95545,52581,22017,186902
2010,693485,45195,30100,11618,43667,21356,-82316,91972,23894,128595,369081,451636,622106,706737,108478,54383,23014,196194
2011,705554,45685,29466,12174,45473,20662,-12564,92966,23883,101256,372481,485653,597269,730811,127269,56056,27476,229962
2012,677852,36802,29060,14858,41631,17791,40647,93019,25132,90822,346755,471793,541248,773290,124679,56277,28035,220408
2013,633446,46464,28908,11042,38145,29678,-83198,91673,32335,72860,358264,497826,536411,813551,139038,52601,27737,220885
2014,603457,46879,28570,5270,36171,24386,-94861,91915,20670,90610,409497,511688,513596,850533,149621,50457,26913,228956
2015,589659,52040,29412,6841,36033,18500,-37905,89533,20669,122035,482257,546202,508800,887753,159781,51906,20956,223181
2016,593372,45306,30174,3721,39082,18344,-34077,92566,20140,109709,511325,594536,514098,916067,174557,55768,23146,240033
2017,598722,46309,30394,3856,37896,18872,-26685,93552,24907,143953,533152,597307,503443,944878,176584,57944,23821,262551
2018,631130,48996,31534,2169,39140,21789,-9470,92785,42159,95503,551219,588706,495289,987791,178895,60418,23885,324975
2019,686003,52739,32410,5041,37844,38257,-25715,97116,26876,136752,584816,650996,514787,1044409,199843,65740,23436,375158
2020,724480,58320,35032,4596,42817,38332,684,101560,30306,195526,640878,699281,529335,1097184,215077,79570,29465,376171
2021,767104,60684,37548,4910,43908,27522,691,104300,33796,111993,648564,728497,523791,1156204,235757,75803,28867,378189
2022,782720,49280,38823,-3258,45911,23973,-12409,105184,37737,98642,649372,786422,530814,1221868,263527,75209,30460,398679
2023,785064,47521,39313,800,44199,24753,-15120,107023,27946,96995,649565,797297,533432,1291471,263979,73942,31391,427713
2024,791979,46522,38707,-384,44711,21923,-14437,109174,26784,95756,646317,806412,534743,1366355,262123,72437,31430,457793
2025,803425,44741,38635,-213,41715,21599,-12792,111161,21828,96807,647355,906717,554498,1445179,284997,72694,32109,499097
