LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUS,GDEXPRD,TOT,PC_GDP,A,1998,1.438092305,
AUS,GDEXPRD,TOT,PC_GDP,A,2000,1.477464521,
AUS,GDEXPRD,TOT,PC_GDP,A,2002,1.649470635,
AUS,GDEXPRD,TOT,PC_GDP,A,2004,1.731244803,
AUS,GDEXPRD,TOT,PC_GDP,A,2006,2.004172676,
AUS,GDEXPRD,TOT,PC_GDP,A,2008,2.245701884,
AUS,GDEXPRD,TOT,PC_GDP,A,2010,2.182304101,
AUS,GDEXPRD,TOT,PC_GDP,A,2011,2.114030536,
AUS,GDEXPRD,TOT,PC_GDP,A,2013,2.093892514,
AUS,GDEXPRD,TOT,PC_GDP,A,2015,1.877445484,
AUS,GDEXPRD,TOT,PC_GDP,A,2017,1.787251065,
AUT,GDEXPRD,TOT,MLN_USD,A,1981,2366.681181,
AUT,GDEXPRD,TOT,MLN_USD,A,1982,2515.244661,
AUT,GDEXPRD,TOT,MLN_USD,A,1983,2610.953121,
AUT,GDEXPRD,TOT,MLN_USD,A,1984,2726.645378,
AUT,GDEXPRD,TOT,MLN_USD,A,1985,2799.474701,
AUT,GDEXPRD,TOT,MLN_USD,A,1986,2958.104363,
AUT,GDEXPRD,TOT,MLN_USD,A,1987,3016.578775,
AUT,GDEXPRD,TOT,MLN_USD,A,1988,3216.40311,
AUT,GDEXPRD,TOT,MLN_USD,A,1989,3394.227048,
AUT,GDEXPRD,TOT,MLN_USD,A,1990,3667.576921,
AUT,GDEXPRD,TOT,MLN_USD,A,1991,4009.608753,
AUT,GDEXPRD,TOT,MLN_USD,A,1992,4056.631742,
AUT,GDEXPRD,TOT,MLN_USD,A,1993,4126.508963,
AUT,GDEXPRD,TOT,MLN_USD,A,1994,4457.238314,
AUT,GDEXPRD,TOT,MLN_USD,A,1995,4636.904189,
AUT,GDEXPRD,TOT,MLN_USD,A,1996,4904.11634,
AUT,GDEXPRD,TOT,MLN_USD,A,1997,5241.618658,
AUT,GDEXPRD,TOT,MLN_USD,A,1998,5680.769051,
AUT,GDEXPRD,TOT,MLN_USD,A,1999,6269.502894,
AUT,GDEXPRD,TOT,MLN_USD,A,2000,6623.921608,
AUT,GDEXPRD,TOT,MLN_USD,A,2001,7085.144156,
AUT,GDEXPRD,TOT,MLN_USD,A,2002,7469.259021,
AUT,GDEXPRD,TOT,MLN_USD,A,2003,7935.803559,
AUT,GDEXPRD,TOT,MLN_USD,A,2004,8121.2149,
AUT,GDEXPRD,TOT,MLN_USD,A,2005,9097.434016,
AUT,GDEXPRD,TOT,MLN_USD,A,2006,9356.091982,
AUT,GDEXPRD,TOT,MLN_USD,A,2007,9948.376862,
AUT,GDEXPRD,TOT,MLN_USD,A,2008,10723.95105,
AUT,GDEXPRD,TOT,MLN_USD,A,2009,10429.84479,
AUT,GDEXPRD,TOT,MLN_USD,A,2010,11150.58846,
AUT,GDEXPRD,TOT,MLN_USD,A,2011,11234.75622,
AUT,GDEXPRD,TOT,MLN_USD,A,2012,12354.04795,
AUT,GDEXPRD,TOT,MLN_USD,A,2013,12527.6284,
AUT,GDEXPRD,TOT,MLN_USD,A,2014,13162.56524,
AUT,GDEXPRD,TOT,MLN_USD,A,2015,13146.95828,
AUT,GDEXPRD,TOT,MLN_USD,A,2016,13726.80503,
AUT,GDEXPRD,TOT,MLN_USD,A,2017,13749.34753,
AUT,GDEXPRD,TOT,MLN_USD,A,2018,14501.69475,
AUT,GDEXPRD,TOT,MLN_USD,A,2019,14937.26339,
AUT,GDEXPRD,TOT,PC_GDP,A,1981,1.089984465,
AUT,GDEXPRD,TOT,PC_GDP,A,1982,1.135566832,
AUT,GDEXPRD,TOT,PC_GDP,A,1983,1.144742483,
AUT,GDEXPRD,TOT,PC_GDP,A,1984,1.194853764,
AUT,GDEXPRD,TOT,PC_GDP,A,1985,1.196862828,
AUT,GDEXPRD,TOT,PC_GDP,A,1986,1.23623142,
AUT,GDEXPRD,TOT,PC_GDP,A,1987,1.243788362,
AUT,GDEXPRD,TOT,PC_GDP,A,1988,1.283864795,
AUT,GDEXPRD,TOT,PC_GDP,A,1989,1.304151932,
AUT,GDEXPRD,TOT,PC_GDP,A,1990,1.350492625,
AUT,GDEXPRD,TOT,PC_GDP,A,1991,1.427314371,
AUT,GDEXPRD,TOT,PC_GDP,A,1992,1.414441623,
AUT,GDEXPRD,TOT,PC_GDP,A,1993,1.431265942,
AUT,GDEXPRD,TOT,PC_GDP,A,1994,1.509713215,
AUT,GDEXPRD,TOT,PC_GDP,A,1995,1.52975433,
AUT,GDEXPRD,TOT,PC_GDP,A,1996,1.580769195,
AUT,GDEXPRD,TOT,PC_GDP,A,1997,1.65491086,
AUT,GDEXPRD,TOT,PC_GDP,A,1998,1.731547593,
AUT,GDEXPRD,TOT,PC_GDP,A,1999,1.845371252,
AUT,GDEXPRD,TOT,PC_GDP,A,2000,1.886024244,
AUT,GDEXPRD,TOT,PC_GDP,A,2001,1.992104481,
AUT,GDEXPRD,TOT,PC_GDP,A,2002,2.065983838,
AUT,GDEXPRD,TOT,PC_GDP,A,2003,2.174556416,
AUT,GDEXPRD,TOT,PC_GDP,A,2004,2.166116646,
AUT,GDEXPRD,TOT,PC_GDP,A,2005,2.373239905,
AUT,GDEXPRD,TOT,PC_GDP,A,2006,2.359227098,
AUT,GDEXPRD,TOT,PC_GDP,A,2007,2.418432317,
AUT,GDEXPRD,TOT,PC_GDP,A,2008,2.569448163,
AUT,GDEXPRD,TOT,PC_GDP,A,2009,2.596736777,
AUT,GDEXPRD,TOT,PC_GDP,A,2010,2.726100573,
AUT,GDEXPRD,TOT,PC_GDP,A,2011,2.668677896,
AUT,GDEXPRD,TOT,PC_GDP,A,2012,2.91471878,
AUT,GDEXPRD,TOT,PC_GDP,A,2013,2.954918369,
AUT,GDEXPRD,TOT,PC_GDP,A,2014,3.084286721,
AUT,GDEXPRD,TOT,PC_GDP,A,2015,3.049690499,
AUT,GDEXPRD,TOT,PC_GDP,A,2016,3.119235669,
AUT,GDEXPRD,TOT,PC_GDP,A,2017,3.048854973,
AUT,GDEXPRD,TOT,PC_GDP,A,2018,3.139710946,
AUT,GDEXPRD,TOT,PC_GDP,A,2019,3.182679063,
BEL,GDEXPRD,TOT,MLN_USD,A,1983,4081.523217,
BEL,GDEXPRD,TOT,MLN_USD,A,1984,4215.463703,
BEL,GDEXPRD,TOT,MLN_USD,A,1985,4427.59154,
BEL,GDEXPRD,TOT,MLN_USD,A,1986,4517.356998,
BEL,GDEXPRD,TOT,MLN_USD,A,1987,4657.975268,
BEL,GDEXPRD,TOT,MLN_USD,A,1988,4739.632538,
BEL,GDEXPRD,TOT,MLN_USD,A,1989,5076.346167,
BEL,GDEXPRD,TOT,MLN_USD,A,1991,5250.461685,
BEL,GDEXPRD,TOT,MLN_USD,A,1993,5543.178684,
BEL,GDEXPRD,TOT,MLN_USD,A,1994,5688.595841,
BEL,GDEXPRD,TOT,MLN_USD,A,1995,5896.047763,
BEL,GDEXPRD,TOT,MLN_USD,A,1996,6321.025364,
BEL,GDEXPRD,TOT,MLN_USD,A,1997,6811.997329,
BEL,GDEXPRD,TOT,MLN_USD,A,1998,7055.160967,
BEL,GDEXPRD,TOT,MLN_USD,A,1999,7572.92975,
BEL,GDEXPRD,TOT,MLN_USD,A,2000,7980.304644,
BEL,GDEXPRD,TOT,MLN_USD,A,2001,8470.571528,
BEL,GDEXPRD,TOT,MLN_USD,A,2002,8066.136722,
BEL,GDEXPRD,TOT,MLN_USD,A,2003,7884.143928,
BEL,GDEXPRD,TOT,MLN_USD,A,2004,8073.941604,
BEL,GDEXPRD,TOT,MLN_USD,A,2005,8125.718499,
BEL,GDEXPRD,TOT,MLN_USD,A,2006,8482.438995,
BEL,GDEXPRD,TOT,MLN_USD,A,2007,8926.060377,
BEL,GDEXPRD,TOT,MLN_USD,A,2008,9386.843341,
BEL,GDEXPRD,TOT,MLN_USD,A,2009,9490.426397,
BEL,GDEXPRD,TOT,MLN_USD,A,2010,10071.34375,
BEL,GDEXPRD,TOT,MLN_USD,A,2011,10795.60055,
BEL,GDEXPRD,TOT,MLN_USD,A,2012,11414.92164,
BEL,GDEXPRD,TOT,MLN_USD,A,2013,11716.60461,
BEL,GDEXPRD,TOT,MLN_USD,A,2014,12102.18932,
BEL,GDEXPRD,TOT,MLN_USD,A,2015,12651.16917,
BEL,GDEXPRD,TOT,MLN_USD,A,2016,13337.07232,
BEL,GDEXPRD,TOT,MLN_USD,A,2017,14338.39169,
BEL,GDEXPRD,TOT,MLN_USD,A,2018,14645.65402,
BEL,GDEXPRD,TOT,PC_GDP,A,1983,1.496450527,
BEL,GDEXPRD,TOT,PC_GDP,A,1984,1.508356648,
BEL,GDEXPRD,TOT,PC_GDP,A,1985,1.558515744,
BEL,GDEXPRD,TOT,PC_GDP,A,1986,1.561648126,
BEL,GDEXPRD,TOT,PC_GDP,A,1987,1.573954035,
BEL,GDEXPRD,TOT,PC_GDP,A,1988,1.529313767,
BEL,GDEXPRD,TOT,PC_GDP,A,1989,1.583041148,
BEL,GDEXPRD,TOT,PC_GDP,A,1991,1.558954439,
BEL,GDEXPRD,TOT,PC_GDP,A,1993,1.63679844,
BEL,GDEXPRD,TOT,PC_GDP,A,1994,1.627227284,
BEL,GDEXPRD,TOT,PC_GDP,A,1995,1.647285313,
BEL,GDEXPRD,TOT,PC_GDP,A,1996,1.742985796,
BEL,GDEXPRD,TOT,PC_GDP,A,1997,1.809714311,
BEL,GDEXPRD,TOT,PC_GDP,A,1998,1.838251002,
BEL,GDEXPRD,TOT,PC_GDP,A,1999,1.905645806,
BEL,GDEXPRD,TOT,PC_GDP,A,2000,1.936195166,
BEL,GDEXPRD,TOT,PC_GDP,A,2001,2.032791651,
BEL,GDEXPRD,TOT,PC_GDP,A,2002,1.903247913,
BEL,GDEXPRD,TOT,PC_GDP,A,2003,1.841195004,
BEL,GDEXPRD,TOT,PC_GDP,A,2004,1.820504973,
BEL,GDEXPRD,TOT,PC_GDP,A,2005,1.790606402,
BEL,GDEXPRD,TOT,PC_GDP,A,2006,1.822692776,
BEL,GDEXPRD,TOT,PC_GDP,A,2007,1.849994631,
BEL,GDEXPRD,TOT,PC_GDP,A,2008,1.936839386,
BEL,GDEXPRD,TOT,PC_GDP,A,2009,1.998598447,
BEL,GDEXPRD,TOT,PC_GDP,A,2010,2.061876394,
BEL,GDEXPRD,TOT,PC_GDP,A,2011,2.173324418,
BEL,GDEXPRD,TOT,PC_GDP,A,2012,2.281140634,
BEL,GDEXPRD,TOT,PC_GDP,A,2013,2.330725158,
BEL,GDEXPRD,TOT,PC_GDP,A,2014,2.370016325,
BEL,GDEXPRD,TOT,PC_GDP,A,2015,2.428165588,
BEL,GDEXPRD,TOT,PC_GDP,A,2016,2.522521966,
BEL,GDEXPRD,TOT,PC_GDP,A,2017,2.661241251,
BEL,GDEXPRD,TOT,PC_GDP,A,2018,2.678424726,
CAN,GDEXPRD,TOT,MLN_USD,A,1981,8603.340583,
CAN,GDEXPRD,TOT,MLN_USD,A,1982,9305.527935,
CAN,GDEXPRD,TOT,MLN_USD,A,1983,9333.17935,
CAN,GDEXPRD,TOT,MLN_USD,A,1984,10140.64693,
CAN,GDEXPRD,TOT,MLN_USD,A,1985,10915.48527,
CAN,GDEXPRD,TOT,MLN_USD,A,1986,11443.91708,
CAN,GDEXPRD,TOT,MLN_USD,A,1987,11513.62449,
CAN,GDEXPRD,TOT,MLN_USD,A,1988,11871.92733,
CAN,GDEXPRD,TOT,MLN_USD,A,1989,12731.03934,
CAN,GDEXPRD,TOT,MLN_USD,A,1990,13271.92193,
CAN,GDEXPRD,TOT,MLN_USD,A,1991,13519.09681,
CAN,GDEXPRD,TOT,MLN_USD,A,1992,14027.14479,
CAN,GDEXPRD,TOT,MLN_USD,A,1993,14882.42062,
CAN,GDEXPRD,TOT,MLN_USD,A,1994,16063.13087,
CAN,GDEXPRD,TOT,MLN_USD,A,1995,16194.50326,
CAN,GDEXPRD,TOT,MLN_USD,A,1996,15988.48902,
CAN,GDEXPRD,TOT,MLN_USD,A,1997,16745.24285,
CAN,GDEXPRD,TOT,MLN_USD,A,1998,18440.02297,
CAN,GDEXPRD,TOT,MLN_USD,A,1999,19838.03308,
CAN,GDEXPRD,TOT,MLN_USD,A,2000,22160.62382,
CAN,GDEXPRD,TOT,MLN_USD,A,2001,24531.90199,
CAN,GDEXPRD,TOT,MLN_USD,A,2002,24653.82725,
CAN,GDEXPRD,TOT,MLN_USD,A,2003,25048.48547,
CAN,GDEXPRD,TOT,MLN_USD,A,2004,26209.17318,
CAN,GDEXPRD,TOT,MLN_USD,A,2005,26695.64505,
CAN,GDEXPRD,TOT,MLN_USD,A,2006,27006.31064,
CAN,GDEXPRD,TOT,MLN_USD,A,2007,27006.55189,
CAN,GDEXPRD,TOT,MLN_USD,A,2008,26592.81907,
CAN,GDEXPRD,TOT,MLN_USD,A,2009,26672.13148,
CAN,GDEXPRD,TOT,MLN_USD,A,2010,26174.99603,
CAN,GDEXPRD,TOT,MLN_USD,A,2011,26434.3872,
CAN,GDEXPRD,TOT,MLN_USD,A,2012,26676.9329,
CAN,GDEXPRD,TOT,MLN_USD,A,2013,26267.47364,
CAN,GDEXPRD,TOT,MLN_USD,A,2014,27160.29517,
CAN,GDEXPRD,TOT,MLN_USD,A,2015,27005.51714,
CAN,GDEXPRD,TOT,MLN_USD,A,2016,27847.57601,
CAN,GDEXPRD,TOT,MLN_USD,A,2017,27735.50471,
CAN,GDEXPRD,TOT,MLN_USD,A,2018,26497.10864,
CAN,GDEXPRD,TOT,MLN_USD,A,2019,26587.57433,
CAN,GDEXPRD,TOT,PC_GDP,A,1981,1.198562268,
CAN,GDEXPRD,TOT,PC_GDP,A,1982,1.339066054,
CAN,GDEXPRD,TOT,PC_GDP,A,1983,1.308993724,
CAN,GDEXPRD,TOT,PC_GDP,A,1984,1.342897837,
CAN,GDEXPRD,TOT,PC_GDP,A,1985,1.380125473,
CAN,GDEXPRD,TOT,PC_GDP,A,1986,1.416554317,
CAN,GDEXPRD,TOT,PC_GDP,A,1987,1.369407455,
CAN,GDEXPRD,TOT,PC_GDP,A,1988,1.352381742,
CAN,GDEXPRD,TOT,PC_GDP,A,1989,1.417405845,
CAN,GDEXPRD,TOT,PC_GDP,A,1990,1.475195578,
CAN,GDEXPRD,TOT,PC_GDP,A,1991,1.534684292,
CAN,GDEXPRD,TOT,PC_GDP,A,1992,1.578150315,
CAN,GDEXPRD,TOT,PC_GDP,A,1993,1.630976779,
CAN,GDEXPRD,TOT,PC_GDP,A,1994,1.684655518,
CAN,GDEXPRD,TOT,PC_GDP,A,1995,1.653878389,
CAN,GDEXPRD,TOT,PC_GDP,A,1996,1.606821782,
CAN,GDEXPRD,TOT,PC_GDP,A,1997,1.613803111,
CAN,GDEXPRD,TOT,PC_GDP,A,1998,1.710492181,
CAN,GDEXPRD,TOT,PC_GDP,A,1999,1.749829105,
CAN,GDEXPRD,TOT,PC_GDP,A,2000,1.858470207,
CAN,GDEXPRD,TOT,PC_GDP,A,2001,2.021156042,
CAN,GDEXPRD,TOT,PC_GDP,A,2002,1.971694588,
CAN,GDEXPRD,TOT,PC_GDP,A,2003,1.967807056,
CAN,GDEXPRD,TOT,PC_GDP,A,2004,1.997333295,
CAN,GDEXPRD,TOT,PC_GDP,A,2005,1.971243467,
CAN,GDEXPRD,TOT,PC_GDP,A,2006,1.94299895,
CAN,GDEXPRD,TOT,PC_GDP,A,2007,1.903577511,
CAN,GDEXPRD,TOT,PC_GDP,A,2008,1.855777859,
CAN,GDEXPRD,TOT,PC_GDP,A,2009,1.917415394,
CAN,GDEXPRD,TOT,PC_GDP,A,2010,1.825277543,
CAN,GDEXPRD,TOT,PC_GDP,A,2011,1.787140592,
CAN,GDEXPRD,TOT,PC_GDP,A,2012,1.772328277,
CAN,GDEXPRD,TOT,PC_GDP,A,2013,1.705404188,
CAN,GDEXPRD,TOT,PC_GDP,A,2014,1.714172855,
CAN,GDEXPRD,TOT,PC_GDP,A,2015,1.693242854,
CAN,GDEXPRD,TOT,PC_GDP,A,2016,1.728728459,
CAN,GDEXPRD,TOT,PC_GDP,A,2017,1.668856344,
CAN,GDEXPRD,TOT,PC_GDP,A,2018,1.562870977,
CAN,GDEXPRD,TOT,PC_GDP,A,2019,1.542659811,
CZE,GDEXPRD,TOT,MLN_USD,A,1995,1930.926155,
CZE,GDEXPRD,TOT,MLN_USD,A,1996,2042.329933,
CZE,GDEXPRD,TOT,MLN_USD,A,1997,2257.009215,
CZE,GDEXPRD,TOT,MLN_USD,A,1998,2409.953385,
CZE,GDEXPRD,TOT,MLN_USD,A,1999,2419.79524,
CZE,GDEXPRD,TOT,MLN_USD,A,2000,2663.422877,
CZE,GDEXPRD,TOT,MLN_USD,A,2001,2716.622021,
CZE,GDEXPRD,TOT,MLN_USD,A,2002,2758.222858,
CZE,GDEXPRD,TOT,MLN_USD,A,2003,2975.304812,
CZE,GDEXPRD,TOT,MLN_USD,A,2004,3116.338734,
CZE,GDEXPRD,TOT,MLN_USD,A,2005,3385.897242,
CZE,GDEXPRD,TOT,MLN_USD,A,2006,3814.228502,
CZE,GDEXPRD,TOT,MLN_USD,A,2007,4258.611769,
CZE,GDEXPRD,TOT,MLN_USD,A,2008,4161.470412,
CZE,GDEXPRD,TOT,MLN_USD,A,2009,4137.609147,
CZE,GDEXPRD,TOT,MLN_USD,A,2010,4370.616601,
CZE,GDEXPRD,TOT,MLN_USD,A,2011,5176.423301,
CZE,GDEXPRD,TOT,MLN_USD,A,2012,5882.990613,
CZE,GDEXPRD,TOT,MLN_USD,A,2013,6240.231571,
CZE,GDEXPRD,TOT,MLN_USD,A,2014,6656.355949,
CZE,GDEXPRD,TOT,MLN_USD,A,2015,6854.793426,
CZE,GDEXPRD,TOT,MLN_USD,A,2016,6116.044585,
CZE,GDEXPRD,TOT,MLN_USD,A,2017,6802.555774,
CZE,GDEXPRD,TOT,MLN_USD,A,2018,7540.680154,
CZE,GDEXPRD,TOT,PC_GDP,A,1995,0.881378325,
CZE,GDEXPRD,TOT,PC_GDP,A,1996,0.894457698,
CZE,GDEXPRD,TOT,PC_GDP,A,1997,0.99439176,
CZE,GDEXPRD,TOT,PC_GDP,A,1998,1.065277543,
CZE,GDEXPRD,TOT,PC_GDP,A,1999,1.054518406,
CZE,GDEXPRD,TOT,PC_GDP,A,2000,1.113191474,
CZE,GDEXPRD,TOT,PC_GDP,A,2001,1.103332971,
CZE,GDEXPRD,TOT,PC_GDP,A,2002,1.102018016,
CZE,GDEXPRD,TOT,PC_GDP,A,2003,1.147409704,
CZE,GDEXPRD,TOT,PC_GDP,A,2004,1.145589567,
CZE,GDEXPRD,TOT,PC_GDP,A,2005,1.168347672,
CZE,GDEXPRD,TOT,PC_GDP,A,2006,1.231731897,
CZE,GDEXPRD,TOT,PC_GDP,A,2007,1.302275111,
CZE,GDEXPRD,TOT,PC_GDP,A,2008,1.239327215,
CZE,GDEXPRD,TOT,PC_GDP,A,2009,1.29438486,
CZE,GDEXPRD,TOT,PC_GDP,A,2010,1.336884515,
CZE,GDEXPRD,TOT,PC_GDP,A,2011,1.555706853,
CZE,GDEXPRD,TOT,PC_GDP,A,2012,1.782312212,
CZE,GDEXPRD,TOT,PC_GDP,A,2013,1.899730463,
CZE,GDEXPRD,TOT,PC_GDP,A,2014,1.972847232,
CZE,GDEXPRD,TOT,PC_GDP,A,2015,1.929233604,
CZE,GDEXPRD,TOT,PC_GDP,A,2016,1.680145245,
CZE,GDEXPRD,TOT,PC_GDP,A,2017,1.790791428,
CZE,GDEXPRD,TOT,PC_GDP,A,2018,1.930170914,
DNK,GDEXPRD,TOT,MLN_USD,A,1981,1524.253137,
DNK,GDEXPRD,TOT,MLN_USD,A,1982,1639.12158,
DNK,GDEXPRD,TOT,MLN_USD,A,1983,1758.374067,
DNK,GDEXPRD,TOT,MLN_USD,A,1984,1876.950744,
DNK,GDEXPRD,TOT,MLN_USD,A,1985,2007.466276,
DNK,GDEXPRD,TOT,MLN_USD,A,1986,2247.97231,
DNK,GDEXPRD,TOT,MLN_USD,A,1987,2418.656265,
DNK,GDEXPRD,TOT,MLN_USD,A,1988,2556.442488,
DNK,GDEXPRD,TOT,MLN_USD,A,1989,2654.001001,
DNK,GDEXPRD,TOT,MLN_USD,A,1990,2826.820062,
DNK,GDEXPRD,TOT,MLN_USD,A,1991,2987.504926,
DNK,GDEXPRD,TOT,MLN_USD,A,1992,3104.957772,
DNK,GDEXPRD,TOT,MLN_USD,A,1993,3252.422255,
DNK,GDEXPRD,TOT,MLN_USD,A,1995,3735.47159,
DNK,GDEXPRD,TOT,MLN_USD,A,1996,3881.701348,
DNK,GDEXPRD,TOT,MLN_USD,A,1997,4191.249022,
DNK,GDEXPRD,TOT,MLN_USD,A,1998,4549.658259,
DNK,GDEXPRD,TOT,MLN_USD,A,1999,4967.336605,
DNK,GDEXPRD,TOT,MLN_USD,A,2001,5677.02292,
DNK,GDEXPRD,TOT,MLN_USD,A,2002,5990.017093,
DNK,GDEXPRD,TOT,MLN_USD,A,2003,6184.315344,
DNK,GDEXPRD,TOT,MLN_USD,A,2004,6117.485295,
DNK,GDEXPRD,TOT,MLN_USD,A,2005,6193.687307,
DNK,GDEXPRD,TOT,MLN_USD,A,2006,6461.942101,
DNK,GDEXPRD,TOT,MLN_USD,A,2007,6825.727532,
DNK,GDEXPRD,TOT,MLN_USD,A,2008,7487.414471,
DNK,GDEXPRD,TOT,MLN_USD,A,2009,7843.183996,
DNK,GDEXPRD,TOT,MLN_USD,A,2010,7628.82798,
DNK,GDEXPRD,TOT,MLN_USD,A,2011,7803.914435,
DNK,GDEXPRD,TOT,MLN_USD,A,2012,7918.796022,
DNK,GDEXPRD,TOT,MLN_USD,A,2013,7963.842941,
DNK,GDEXPRD,TOT,MLN_USD,A,2014,7939.184773,
DNK,GDEXPRD,TOT,MLN_USD,A,2015,8517.953936,
DNK,GDEXPRD,TOT,MLN_USD,A,2016,8903.452397,
DNK,GDEXPRD,TOT,MLN_USD,A,2017,8959.366151,
DNK,GDEXPRD,TOT,MLN_USD,A,2018,9121.792978,
DNK,GDEXPRD,TOT,PC_GDP,A,1981,1.013747389,
DNK,GDEXPRD,TOT,PC_GDP,A,1982,1.051404124,
DNK,GDEXPRD,TOT,PC_GDP,A,1983,1.099357756,
DNK,GDEXPRD,TOT,PC_GDP,A,1984,1.12655938,
DNK,GDEXPRD,TOT,PC_GDP,A,1985,1.158511807,
DNK,GDEXPRD,TOT,PC_GDP,A,1986,1.236660179,
DNK,GDEXPRD,TOT,PC_GDP,A,1987,1.327182688,
DNK,GDEXPRD,TOT,PC_GDP,A,1988,1.40298057,
DNK,GDEXPRD,TOT,PC_GDP,A,1989,1.447183822,
DNK,GDEXPRD,TOT,PC_GDP,A,1990,1.519010151,
DNK,GDEXPRD,TOT,PC_GDP,A,1991,1.583289941,
DNK,GDEXPRD,TOT,PC_GDP,A,1992,1.613951366,
DNK,GDEXPRD,TOT,PC_GDP,A,1993,1.690422468,
DNK,GDEXPRD,TOT,PC_GDP,A,1995,1.789031561,
DNK,GDEXPRD,TOT,PC_GDP,A,1996,1.806670226,
DNK,GDEXPRD,TOT,PC_GDP,A,1997,1.889140981,
DNK,GDEXPRD,TOT,PC_GDP,A,1998,2.006187994,
DNK,GDEXPRD,TOT,PC_GDP,A,1999,2.127641406,
DNK,GDEXPRD,TOT,PC_GDP,A,2001,2.324664287,
DNK,GDEXPRD,TOT,PC_GDP,A,2002,2.441445604,
DNK,GDEXPRD,TOT,PC_GDP,A,2003,2.510845037,
DNK,GDEXPRD,TOT,PC_GDP,A,2004,2.419163315,
DNK,GDEXPRD,TOT,PC_GDP,A,2005,2.393372907,
DNK,GDEXPRD,TOT,PC_GDP,A,2006,2.403002599,
DNK,GDEXPRD,TOT,PC_GDP,A,2007,2.515412389,
DNK,GDEXPRD,TOT,PC_GDP,A,2008,2.773457368,
DNK,GDEXPRD,TOT,PC_GDP,A,2009,3.05514206,
DNK,GDEXPRD,TOT,PC_GDP,A,2010,2.917066277,
DNK,GDEXPRD,TOT,PC_GDP,A,2011,2.944651358,
DNK,GDEXPRD,TOT,PC_GDP,A,2012,2.981247114,
DNK,GDEXPRD,TOT,PC_GDP,A,2013,2.970481536,
DNK,GDEXPRD,TOT,PC_GDP,A,2014,2.914093489,
DNK,GDEXPRD,TOT,PC_GDP,A,2015,3.054966503,
DNK,GDEXPRD,TOT,PC_GDP,A,2016,3.092833563,
DNK,GDEXPRD,TOT,PC_GDP,A,2017,3.05015048,
DNK,GDEXPRD,TOT,PC_GDP,A,2018,3.032920376,
FIN,GDEXPRD,TOT,MLN_USD,A,1981,1318.879247,
FIN,GDEXPRD,TOT,MLN_USD,A,1983,1592.56084,
FIN,GDEXPRD,TOT,MLN_USD,A,1984,1807.615623,
FIN,GDEXPRD,TOT,MLN_USD,A,1985,1981.687608,
FIN,GDEXPRD,TOT,MLN_USD,A,1986,2148.67516,
FIN,GDEXPRD,TOT,MLN_USD,A,1987,2347.59638,
FIN,GDEXPRD,TOT,MLN_USD,A,1988,2514.826294,
FIN,GDEXPRD,TOT,MLN_USD,A,1989,2689.360087,
FIN,GDEXPRD,TOT,MLN_USD,A,1990,2819.323591,
FIN,GDEXPRD,TOT,MLN_USD,A,1991,2869.886253,
FIN,GDEXPRD,TOT,MLN_USD,A,1992,2905.333678,
FIN,GDEXPRD,TOT,MLN_USD,A,1993,2934.390251,
FIN,GDEXPRD,TOT,MLN_USD,A,1994,3222.306641,
