gender,name,display_name,bio,favorites_count,followers_count,list_memberships,tweets_retweets_count,following_count,acct_created,location
f,b'Durfees_Law',b'Nell',b'Science teacher. Lapsed writer. \nBlack Lives Matter. \nShe/Her.',32699,208,2,396,2452,2017-01-26 02:48:14,b''
f,b'jaromeo282',b'Jess Romeo',"b'Science writer with a passion for musicals, pirates, and The Princess Bride | #SHERP37 | she/her | words in @Popsci, @JSTOR_Daily | associate editor @scholastic'",1909,278,2,525,1235,2017-01-21 22:57:19,b''
f,b'elana_spivack',b'Spookily distant Elana',b'SHERP 39 \xe2\x80\xa2 published in @ladyxscience @BitchMedia @hey_alma etc \xe2\x80\xa2 sometimes funny @mcsweeneys @Reductress @The_Belladonnas @pointsincase \xe2\x80\xa2 she/her',6173,482,2,1258,1097,2017-01-02 15:36:17,b'NYCish'
m,b'NikoMcCarty',b'Niko McCarty',"b'Science journalist, #dataviz, synthetic biologist. Current: SHERP @nyuniversity. Prev: @Caltech + @ImperialCollege + Iowa. #SynBio weekly: https://t.co/RTPsNLJBtI'",4020,703,11,1013,572,2016-11-19 03:03:29,b'New York'
f,b'leslie_nemo',b'Leslie Nemo',b'Science journalist covering culture and environment | contributor @DiscoverMag | Read my work @sciam @CityLab @undarkmag @TheAtlantic and elsewhere | she/her',5677,574,16,1020,495,2016-09-07 18:07:48,b'Michigan'
m,b'HarrisonTasoff',b'Harrison Tasoff',"b'Science writer with a background in math and logic. Always learning, always exploring, always sharing.'",116,237,14,368,91,2016-09-02 16:42:20,b''
m,b'DanRobitzski',b'Dan Robitzski',b'Staff Reporter at @futurism Covering Science and Tech. Freelancer Elsewhere. Epee Fencer. Pokemon Master. Streaming with @trashedbros.',30159,1291,38,8177,735,2016-09-01 23:02:27,b''
m,b'SkepticalRanger',b'Mark Kaufman',b'Science Reporter @mashable | Park ranger turned journalist | Tweets expressly mine | mkaufman@mashable.com',1229,1275,63,445,624,2016-06-14 12:43:20,b''
m,b'ethanpfreedman',b'Ethan Freedman',"b'Science journalist, birder, \xf0\x9f\xa5\x96\xf0\x9f\x8c\xba\xf0\x9f\x90\x8b. NYU SHERP 39. He/Him, Opinions = Mine'",464,135,4,702,657,2016-06-12 21:52:25,"b'Brooklyn, NY'"
f,b'jackieappel',b'Jackie Appel',"b""I'm trying to be on here more""",1652,73,1,84,165,2016-06-07 20:29:10,b''
f,b'ykarenkwon',b'Karen Kwon',b'she/her \xe2\x80\xa2 freelance science writer \xe2\x80\xa2 @nyu_journalism #SHERP39 \xe2\x80\xa2 before: 2020 @aaasmassmedia fellow at @sciam + phd from @chemcolumbia \xe2\x80\xa2 korean in nyc',1871,571,12,826,1736,2016-05-20 20:55:08,"b'New York, NY'"
m,b'willsullivan94',b'Will Sullivan',"b'Science journalist. Occasional music critic. Find me in @novapbs, @wburartery, @soundofboston. Swarthmore College \xe2\x80\x9817. He/him.'",372,138,3,197,402,2016-05-05 17:52:52,"b'Washington, DC'"
f,b'anika_hazra',b'Anika Hazra',b'Science Communicator | Toronto/Chicago/Ottawa | Conservation Communications Coordinator @cpaws | Views are my own',1,20,2,1,26,2016-01-11 01:59:14,"b'Ottawa, ON'"
f,b'CiciZhang15',b'Cici Zhang',b'Science reporter | @nyu_journalism #SHERP | Words in @cenmag @undarkmag @ESTBLSHMNT @PopSci @Scholastic | RTs \xe2\x89\xa0 endorsements',3170,628,33,2048,608,2015-12-01 02:12:45,b'on my way to which-hunting'
f,b'KAHamalainen',b'Karina Hamalainen',"b'Editor on Scholastic MATH and Scholastic ART magazines. Reader, writer, and math, science, and art loving nerd. Opinions expressed here are mine.'",179,191,4,144,255,2015-10-05 19:46:40,"b'New York, NY'"
f,b'AbigailFagan14',b'Abigail Fagan',"b'Associate editor at @psychtoday | Writing in @sciam, @TheCut, @dailytonic, @Spectrum, and others | NYU Journalism #SHERP35'",208,372,13,220,523,2015-09-12 20:49:31,"b'Manhattan, NY'"
m,b'mekoziol',b'Michael Koziol',"b'Associate Editor @IEEESpectrum, SHERP 34, TrainWatcher Extraordinaire, Human-Cyborg relations, Friends with all dinosaurs.'",2192,344,14,1935,356,2015-09-06 23:46:21,b''
f,b'DyaniSabin',b'Dyani Sabin',"b'Science Journalist, SHERP 34, Obie, equestrian, reader of sci-fi, formerly video intern @sciam, Innovations @inversedotcom'",3082,634,11,2529,360,2015-09-03 22:31:35,b''
f,b'KnvulS',b'Knvul Sheikh',"b""Science & health reporter | Bylines in @NYTimes, @TheAtlantic, @AudubonMag, @SciAm & others | Confusing you with the silent 'n' in my name  \xf0\x9f\x87\xba\xf0\x9f\x87\xb8\xf0\x9f\x87\xb8\xf0\x9f\x87\xac\xf0\x9f\x87\xb5\xf0\x9f\x87\xb0\xf0\x9f\x8c\x8e""",1219,2247,92,1711,1044,2015-09-02 19:49:55,"b'New York, NY'"
m,b'RyanFMandelbaum',b'ryan',b'im like a bird\nill only fly away\ni dont know where my soul is\ni dont know where my home is\n(they/them/birds/quantum/writing @qiskit and elsewhere/opinions mine)',67575,7835,179,9026,1938,2015-09-01 18:13:02,"b'New York, USA'"
f,b'shirapolan',b'Shira Polan',b'',68,107,4,211,260,2015-09-01 21:34:17,b''
f,b'sandyong_yx',b'Sandy Ong',b'Science journalist who CSI-ed | Stories and sounds in @TheAtlantic @WiredUK @IEEESpectrum @bbc5live & others | #SHERP alum',208,901,22,383,1908,2015-08-11 05:20:05,b'Singapore via NYC and London'
f,b'JenMonnier',b'Jen Monnier',"b'Freelance science journalist\xf0\x9f\x94\x8e as seen in @SciAm, @CityLab, @hakaimagazine | Producer of @TWC_pod | Pls subscribe to your local paper. she/her'",2792,1655,27,821,1670,2015-06-08 01:35:38,"b'Seattle, WA'"
m,b'ahanGW',b'Andrew P. Han',"b'Staff reporter, @GenomeWeb. Covering genome editing and engineering. CRISPR/Cas9, TALENs, ZFNs, SynBio. Tweets/opinions my own. RTs not endorsements.'",14,83,14,716,95,2015-03-19 17:03:53,"b'New York, NY'"
f,b'MarissaShieh',b'Marissa Shieh',"b'Full stack software engineer ///  Former science and radio journalist | NYU SHERP 35 | previously @KQED, @PopSci, @Scholastic /// She/her'",22166,412,9,724,928,2015-02-17 23:32:21,"b'San Francisco, CA'"
f,b'tcwhite15',b'Taylor C. White',b'Science journalist | intern @Spectrum | previously @GenomeWeb |SHERP 38 | @scienceline',96,119,1,46,215,2015-01-24 03:39:30,"b'New York, NY'"
f,b'swodinsky',b'maybe: shoshana wodinsky',b'e-girl economics @gizmodo @gmgunion // ex adtech @adweek // she+her or \xd7\x94\xd6\xb4\xd7\x99\xd7\x90+\xd7\xa9\xd7\x81\xd6\xb6\xd7\x9c\xd6\xb8\xd7\x94 or \xe5\xa5\xb9+\xe5\xa5\xb9\xe7\x9a\x84',140995,12620,239,28311,4107,2014-12-07 00:20:53,b'swodinsky@gizmodo.com'
m,b'TheBobGrant',b'Bob Grant',"b'Editor in Chief @TheScientistLLC\nThe views, opinions, and preferences expressed here are solely my own.'",472,292,12,281,378,2014-09-04 17:02:22,b'Illinois'
f,b'chelseybcoombs',b'c b c \xf0\x9f\x8d\x93USPS IS MY FRIEND',b'crafty @newdealglass | engagement editor/podcast host @spectrum | wild wild west is my favorite movie',149293,2541,67,9111,1224,2014-07-25 22:30:26,b'nyc'
m,b'mapache_rm',b'Emiliano Mega',b'Science journalist from Mexico covering Latin America and more. Proud alum @NatureNews @AP @SciAm @radioambulante. Torito picante. NYU SHERP 36 \xf0\x9f\x8f\xb3\xef\xb8\x8f\xe2\x80\x8d\xf0\x9f\x8c\x88',11284,2484,75,2103,1652,2014-06-13 04:25:03,b'Mexico City'
f,b'PolinaPorotsky',b'Polina Porotskaya',"b'Father | Moscow/Riga/NYC|   Previously managing editor @scienceline, bylines in @PsychToday, @NBCNewsMach @Spectrum\n \nmanagement contact: pporotsky@gmail.com'",578,164,1,256,630,2014-06-06 15:56:57,b''
f,b'TCTMD_Caitlin',b'Caitlin E. Cox \xf0\x9f\x90\x99',"b'News Editor @TCTMD. Knitter, writer, and science nerd at https://t.co/z6YqmK3EKt. Winner of the 2020 @NIHCMfoundation Trade Journalism Award. Tweets my own.'",514,1259,25,3936,1464,2014-06-05 18:44:58,"b'Atlanta, GA'"
f,b'IsobelWhitcomb',b'Isobel Whitcomb',"b'Science journalist based in Portland, Oregon\nWildfire, ecology, and social justice\nBylines in Hakai, Bay Nature Magazine, Undark and more\nSHERP 37'",278,190,2,189,430,2014-06-04 14:26:04,"b'Portland, OR'"
f,b'laurenjyoung617',b'Lauren J. Young',"b'Science Journalist. Stories & Digital @scifri. Words in @scholastic MATH, @LibraryJournal, @atlasobscura. Professional Book Shelver. Library Advocate. She/Her'",4410,1765,76,3481,1357,2014-05-07 05:56:04,"b'New York, NY'"
f,b'Julia_Karow',b'Julia Karow',"b'Managing editor at GenomeWeb, a Crain Communications publication. Covers genomic medicine, medical genetics, precision medicine, clinical sequencing'",11,777,47,169,145,2014-04-03 14:30:00,"b'New York, NY'"
f,b'lili_pike',b'Lili Pike',"b'Reporter covering climate change & China |  \xe2\x9c\x8d\xef\xb8\x8f @voxdotcom,  @insideclimate, @PopSci, @undarkmag, @chinadialogue | SHERP 38'",2623,716,10,482,1127,2014-03-18 21:17:14,b'San Francisco'
m,b'jonathan_moens',b'Jonathan Moens',"b'intern @Radiolab, reporter @insideclimate | previously @Spectrum | SHERP38'",412,171,2,62,863,2014-02-19 01:04:16,b'NY'
f,b'camaldarelli',b'Claire Maldarelli',b'Science Journalist | Associate Editor @popsci | Previously @NYTscience @scholastic | NYU #SHERP alum | claire.maldarelli@popsci.com',246,1888,85,89,799,2014-02-11 04:02:17,"b'New York, New York'"
f,b'HannekeScience',b'Hanneke Weitering',b'crazy space cat lady \xf0\x9f\x90\x88\xf0\x9f\x9a\x80\nassociate editor at @SPACEdotcom',2787,2079,71,1145,928,2014-01-15 04:20:34,"b'New York, NY'"
m,b'huanjia_zhang',b'Huanjia Zhang',b'SHERP 39 @nyu_journalism. Previously @ChildrensPhila and @PCMicrobiome. Curious human.',217,109,1,101,464,2014-01-16 05:50:39,"b'Philadelphia, PA'"
f,b'ShannonWHall',b'Shannon Hall',"b'Award-Winning Freelance science journalist | Scientific American, The New York Times, National Geographic, Quanta, Nature, Discover and more | Views are my own'",1217,2533,107,4322,427,2013-10-22 20:21:41,"b'Boulder, CO'"
f,b'ellenairhart',b'Ellen Airhart',"b'fact checker @wirecutter | host @plant_crimes | bylines at @WIREDScience, @voxdotcom, @PopSci, @TxMusicMag | she, her'",9461,967,29,579,789,2013-09-30 00:38:09,b'Too far from Texas'
f,b'SarahExplains',b'Sarah Lewin Frasier',"b'Assistant News Editor @sciam. Previously @SPACEdotcom. Proud grade school Pokemon TCG champion. She/her. ""Riveting at the sheer geek level.""'",2931,3117,117,1102,1063,2013-09-03 22:53:42,b'New York City'
f,b'ninapullano',b'nina pullano',"b'reporting on nature, human health, weird science, etc ~\nwords @inversedotcom, @insideclimate, @Medscape \n#SHERP \xe2\x80\xa2 she/her'",1651,420,12,295,864,2013-08-22 18:45:38,"b'New York, NY'"
f,b'HannahNewmanSci',b'Hannah Newman',b'Health & Wellness Enthusiast. Writer. Explorer. Thinker. NYU SHERP alum. Favorite brain region: the hippocampus.',56,381,22,294,483,2013-08-20 20:47:34,"b'New York, New York '"
f,b'jojofoshosho0',b'Joanna Thompson \xf0\x9f\x92\x96\xf0\x9f\x92\x9c\xf0\x9f\x92\x99',"b'Science writer, grad student (SHERP 39), and part-time pro runner for On ZAP Endurance. She/Her'",2471,258,4,318,351,2013-08-05 01:27:41,b''
f,b'alisonmsnyder',b'Alison Snyder',b'Managing editor @Axios. alison@axios.com.',1944,2810,100,1265,1127,2013-06-11 14:17:16,b''
f,b'NajjarDana',b'Dana Najjar',"b'News automation engineer @bloomberg, science and data journalist previously  @QuantaMagazine @Medscape.'",174,198,2,61,166,2013-05-26 13:21:32,b''
f,b'nicolejlou',b'Nicole Lou',b'Medical reporter @medpagetoday. Previously @TCTMD @PopSci @AudubonMag. Do not be negative to birds. Hawaiian pizza is king.',2635,1000,37,1572,898,2013-05-23 18:10:19,b'undisclosed remote location'
f,b'liznewbern',b'Liz Newbern',"b'Science Writer who enjoys learning about science, picking up rocks, and sitting in coffee shops.'",17,229,6,96,273,2013-04-18 16:30:57,"b'New York, New York'"
f,b'MereMereKnight',b'Meredith Knight',b'snits and tarts',3764,313,7,488,1207,2013-04-18 02:49:50,"b'Austin, TX'"
f,b'ellie_kincaid',b'Ellie Kincaid',"b'Associate managing editor @Medscape. Other bylines: Forbes, WSJ. Tips and freelance journalist pitches, please: ekincaid@medscape.net'",4619,2143,102,1713,1235,2013-03-30 17:40:28,"b'New York, NY'"
f,b'AnnetteHeist',b'Annette Heist',"b'fact-based, producer for @eltshow, registered nurse, philly forever'",12892,717,15,2268,1780,2013-03-26 14:27:23,b'east coast'
f,b'AlexiBaker',b'Dr. Alexi Baker',"b'Historian, museum curator, and science writer. Exploring all facets of human experience - past, present & future! #histSTM #earlymodern #twitterstorian'",5094,5039,263,22608,3861,2013-02-24 22:56:39,"b'New Haven, CT'"
m,b'walkingthedot',b'Charlie Wood',"b'Freelance science journalist, R(ecovering)PCV, exJET, language enthusiast. SHERP36. formerly @PopSci, @QuantaMagazine, @csmonitor He/him'",1714,710,19,1030,916,2013-02-10 18:35:13,"b'Brooklyn, NY'"
f,b'chelseaeharvey',b'Chelsea Harvey',"b'Climate science reporter @eenewsupdates | Previously, freelance energy & enviro contributor @washingtonpost | Southern transplant in New York'",439,3655,221,2515,880,2013-01-18 17:25:54,"b'New York, NY'"
f,b'JuliaKarow',b'Julia Karow',b'',0,16,2,0,2,2012-11-20 02:19:42,b''
f,b'kate_baggaley',b'Kate Baggaley',"b'Science journalist powered by sunlight and cheeseburgers. Bird and word nerd. Freelance, previously Associate Editor @Braindecoder.'",102,1111,57,357,456,2012-11-07 17:06:59,b''
m,b'JoshKrisch',b'Joshua A. Krisch',b'Science Writer @RockefellerUniv. Editor. Video/Web/Audio Producer. Previously: @FatherlyHQ @TheScientistLLC @Vocativ @NYTimes @VICE @SciAm @PopMech',859,4078,232,1354,1531,2012-11-06 23:48:31,"b'New York, NY'"
f,b'JoannaRudnick',b'Joanna Rudnick',b'documentary storyteller #inthefamily @onbeauty @storyandpicturesby & producer of several docs that make you think (& need kleenex) @kartemquin',1165,819,34,754,2682,2012-10-17 02:34:58,b'Bay Area'
f,b'RoniShayne',b'Roni Jacobson',"b'Opposition/Freak Power party member. Primarily on the mental health beat. Articles @thedailybeast, @thescienceofus, @TeenVogue, @dailytonic, @sciam, @WIRED++'",3434,665,33,1118,775,2012-09-24 19:10:52,b'nyc'
f,b'ahannahseo',b'Hannah Seo',"b'Science journalist | Intern @EnvirHealthNews | Words in @popsci, @medscape | SHERP 38 | Korean-Canadian raised in Qatar | she/her'",16700,327,4,4138,673,2012-08-03 14:54:46,b''
f,b'lostwoscience',b'Kathryn Free',"b'Science journalist. Scholastic, SciFri, Past intern@PopMech, video@sciam, ammonite enthusiast. #SHERP32'",56,845,47,296,919,2012-07-29 12:33:21,"b'Austin, TX'"
f,b'NaveenaSivam',b'Naveena Sadasivam',"b'Staff writer @grist. Past: @TexasObserver, @insideclimate & @ProPublica. NYU SHERP grad. Former Ida B. Wells fellow. \xe0\xae\xa4\xe0\xae\xae\xe0\xae\xbf\xe0\xae\xb4\xe0\xae\x9a\xe0\xaf\x8d\xe0\xae\x9a\xe0\xae\xbf. nsadasivam@grist.org'",6811,4320,252,7428,1858,2012-06-11 16:50:22,"b'San Francisco, CA'"
f,b'ManasiVaidya22',b'Manasi Vaidya',"b'Healthcare reporter @BioPharmInsight-a @globaldataplc product, NYU SHERP alum, past @NautilusMag @NatureMedicine Film trivia junkie. Wannabe baker.'",7286,827,55,4932,752,2012-06-04 16:59:29,b''
f,b'JillianMock',b'Jillian Mock',b'Freelance science journalist | Writings for @nytclimate @TXClimateNews @audubonsociety @PopSci | @Middlebury & @NYU alum | Texan in NYC\nshe/her',2606,654,19,325,1116,2012-04-29 00:55:12,"b'New York, NY'"
f,b'jeni_hackett',b'Jeni Hackett',b'Associate Editor for @Scholastic MATH - Procraftinator - Video Game Nerd - Idle Nuclear Historian - she/her - Retweets not endorsements jhackett@scholastic.com',360,301,10,696,139,2012-04-16 00:18:26,"b'New York, NY'"
n,b'feini_yin',b'f\xc3\xa8ini y\xc4\xadn',b'science journalist & organizer \xe2\x80\xa2 mental health & food justice \xe2\x80\xa2 now @fishadelphiacsf @creativeresco @freeradsorg \xe2\x80\xa2 prev @whyythepulse @nytimes \xe2\x80\xa2 they/them \xe2\x80\xa2 \xe2\x99\x8b\xef\xb8\x8f',24530,2138,74,6325,2992,2012-04-06 16:50:51,b'lenapehoking so-called philly'
f,b'HarringtonBecca',b'harringtonbecca',"b'Deputy Editor @insidernews @thisisinsider @businessinsider | #SHERP33, @MNDailyNews, #UMN alum | Also written for @scienceline @popsci @sciam @StarTribune'",1512,2487,81,4517,803,2012-04-03 01:45:28,b'Wisconsin'
f,b'SyTpp',b'Sylvia Tippmann',b'Data Scientist at Signal',87,488,65,545,126,2012-02-17 23:36:38,"b'London, England'"
m,b'ToddNeale',b'Todd Neale',b'Senior Medical Journalist/Associate News Editor for TCTMD',145,2773,60,2684,2506,2012-02-05 18:21:51,b'New York City'
f,b'AmyNordrum',b'Amy Nordrum',"b'commissioning editor @techreview | amy.nordrum@technologyreview.com | NYU #SHERP | now: @NYUStern MBA | from: Lucasville, OH'",1602,3863,216,5357,5145,2012-01-29 01:45:46,"b'New York City, NY'"
f,b'sciencewritr',b'Katie Feather',"b'Associate Producer @Scifri. Ambassador, advocate, and friend of science.'",182,1664,85,440,993,2012-01-20 15:26:46,b'New Jersey'
f,b'Brabbott42',b'Brianna Abbott',b'health reporter at @WSJ covering doctors and patient care | SHERP 36 | Bylines in @NatureMedicine @Scholastic @Spectrum and others',3188,1426,47,1523,1120,2012-01-07 21:53:43,"b'New York, NY'"
f,b'julieleibach',b'Julie Leibach \xf0\x9f\x90\x9f',"b'Science writer at @SeaGrantNC. Former editor @scifri and @audubonsociety. FL-bred, NY-groomed, NC-based. She/her.'",2151,2261,110,1630,1616,2012-01-06 20:49:28,"b'North Carolina, USA'"
m,b'HanAndrewP',b'Andrew Han',"b'science writer, cycler, cooker, climber, traveler, runner, skiier'",37,432,26,973,182,2011-12-13 16:09:31,b'Brooklyn'
f,b'OdetteFrey',b'Odette Frey',"b'journalist, science lover, biologist, teacher, student'",301,413,19,255,585,2011-12-02 13:08:57,b''
m,b'bbguari',b'Ben Guarino',b'science reporter @washingtonpost | ben.guarino@washpost.com | he/him',469,3247,137,480,998,2011-11-29 03:16:26,b'New York'
f,b'elliepses',b'Eleanor Cummins',"b'writes a death newsletter // former @popsci editor // words @voxdotcom, @newrepublic, @vice, @slate, etc.'",16621,2857,57,878,1124,2011-11-17 05:47:57,b'Northwesterner in Neo Yokio'
f,b'ReporterGoodman',b'brenda goodman',b'Senior news writer for WebMD and major science geek. NYU serp/sherp alum. Story idea? Tip? My DMs are open. Encrypted email: brendagoodman@protonmail.com',2796,2096,113,2556,2285,2011-10-31 18:58:39,b''
f,b'EmmaSAanne',b'Emma Bryce',b'Science + health + enviro journalist with clips in Guardian / Wired UK / TED Ed / Audubon / Anthropocene',1114,2070,138,1202,1537,2011-10-18 22:10:04,"b'London, England'"
m,b'BenjPlackett',b'Benj Plackett',"b'Freelance science journalist. NYU SHERP 30. Stories in @NatureNews, @AlFanarMedia, @LiveScience, @cenmag, @InsideScience & https://t.co/G6KI7YZoIR :\xd8\xa8\xd9\x86\xd8\xac\xd8\xa7\xd9\x85\xd9\x8a\xd9\x86 \xd8\xa8\xd9\x84\xd8\xa7\xd9\x83\xd9\x8a\xd8\xaa'",850,752,60,2513,866,2011-10-18 15:13:21,b'London/ Middle East'
f,b'justinehausheer',b'Justine E Hausheer',"b'science writer/editor at @nature_brains. Princeton & SHERP alum. traveler. conservationist. birder. arenophile. aspiring Australian. (Views mine, she/her)'",2578,2426,112,5699,614,2011-10-04 00:04:57,"b'Brisbane, Queensland'"
f,b'adrs',b'Arielle DOOM-Ross',"b'Correspondent & Podcast Host @vicenews \xe2\x80\xa2 Past: @voxdotcom (RIP Reset), @verge \xe2\x80\xa2 1st Climate Change Correspondent in US nightly news \xe2\x80\xa2 Tweets auto-\xf0\x9f\x97\x91 \xe2\x80\xa2 she/her'",16884,21066,563,115,2133,2011-10-01 23:01:45,b'New York City (et Montr\xc3\xa9al)'
f,b'ossolalex',b'Alexandra Ossola',b'special projects editor @qz // proud member @qzunion @nyguild // she/her // views = mine',2160,2641,133,3258,2028,2011-09-29 19:45:45,b'nyc'
f,b'k_sliv',b'Kelly Slivka',"b'Curiosity, community, equity, adventure, dis-order, discordance, dis-contentment, wilder-wonder and words. And lots of chile verde. Views my own.'",354,549,32,1502,171,2011-09-29 18:37:57,b''
f,b'templetonf',b'Fleur Templeton',"b'Science communicator, freelance writer, knowledge exchanger. Studied science @otago and journalism @NYU. Currently with @HealthierNZ in New Zealand'",31529,1741,49,11111,4464,2011-09-15 22:11:21,"b'Te Whanganui-a-Tara, Aotearoa'"
f,b'Taylor_Kubota',b'Taylor Kubota',b'Science communicator in California. #SHERP grad. Science writer for @Stanford. Tweets are my own. She/her.',896,763,38,826,1308,2011-09-15 18:09:25,b''
f,b'FosterJoanna',b'Joanna M. Foster',b'Environmental Writer @ClimateProgress @ThinkProgress',0,539,64,84,45,2011-09-09 13:27:06,b'New York'
f,b'crenshawseeds',b'Ashley P. Taylor',"b'Writer, journalist, essayist, et-ceter-ist. Words at @Hazlitt, @joylandfiction, @vol1brooklyn, @slc_lumina, @CatapultStory. Grad of Oberlin, NYU.'",1185,938,32,2109,1417,2011-09-08 20:00:35,"b'New York, NY'"
f,b'AshleyLyles1',"b'Ashley Lyles, MA'",b'\xf0\x9f\x91\x91 Miss New York International 2020 \xf0\x9f\xa4\x93 Medical Journalist \n\xe2\x9d\xa4\xef\xb8\x8f American Heart Association & Go Red for Women Ambassador',1476,581,19,2296,570,2011-09-06 21:28:20,b'NY via Detroit'
f,b'schodosh',b'Sara Chodosh',b'associate editor + graphics designer @popsci  |  aspiring gardener & current plant-killer',967,1112,36,959,690,2011-08-18 23:55:14,"b'New York, USA'"
f,b'MarionRenault',b'marion renault',b'@APHealthScience journalist \xf0\x9f\x94\xac\xf0\x9f\x8c\xb1 \xf0\x9f\x90\x91\xf0\x9f\xa9\xb8work in @theatlantic @nytimes @PopSci & others // past: @radiolab @DispatchAlerts and ex-EIC @mndailynews // she/her',4321,2086,57,1287,1176,2011-07-27 22:34:01,"b'New York, USA'"
m,b'BenLikesRetro',b'Ben Likes Retro',"b""Writer. Editor. Collector. I'm obsessed about that thing you liked in the 80s or 90s and later forgot about. Science, toys, pop culture, and interesting stuff.""",104,163,6,1375,106,2011-07-24 18:46:22,b'Just outside Philly'
m,b'SamuelKMoore',b'Samuel K. Moore',"b'Senior editor at IEEE Spectrum, the flagship publication of IEEE. Spectrum delivers news and analysis on computing, energy, semiconductors, and other tech.'",69,444,27,228,227,2011-07-19 16:14:08,b'New York City'
